04.09.2023 15:15:51.758 [main] DEBUG  o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/service/biotope/BiotopeServiceImpl.class]
04.09.2023 15:15:51.758 [main] DEBUG  o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/service/nest/NestServiceImpl.class]
04.09.2023 15:15:51.758 [main] DEBUG  o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/service/observation/ObservationServiceImpl.class]
04.09.2023 15:15:51.777 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 66 ms. Found 3 JPA repository interfaces.
04.09.2023 15:15:51.973 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
04.09.2023 15:15:51.982 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
04.09.2023 15:15:51.982 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
04.09.2023 15:15:52.061 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
04.09.2023 15:15:52.062 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
04.09.2023 15:15:52.064 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
04.09.2023 15:15:52.064 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
04.09.2023 15:15:52.069 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
04.09.2023 15:15:52.071 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
04.09.2023 15:15:52.074 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
04.09.2023 15:15:52.075 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
04.09.2023 15:15:52.076 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
04.09.2023 15:15:52.078 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'jdbcConnectionDetailsHikariBeanPostProcessor'
